,Temp-PCB (C)_value,Temp-device (C)_value,Temp-vccint (C)_value,Temp-cage_temp_0 (C)_value,Temp-cage_temp_1 (C)_value,3v3_pex (V)_value,3v3_aux (V)_value,Power (Watts)_value,12v_pex (V)_value,12v_pex (A)_value,12v_aux_0 (V)_value,12v_aux_0 (A)_value,12v_aux_1 (V)_value,12v_aux_1 (A)_value,vccint (V)_value,vccint (A)_value
0,23,49,40,0,0,3.275,3.312,47,12.003,12.003,12.089,12.089,12.122,12.122,0.798,0.798
1,23,49,40,0,0,3.269,3.312,50,11.993,11.993,12.089,12.089,12.131,12.131,0.798,0.798
2,23,49,40,0,0,3.274,3.311,48,12.004,12.004,12.082,12.082,12.130,12.130,0.798,0.798
3,23,49,40,0,0,3.274,3.311,48,11.993,11.993,12.074,12.074,12.123,12.123,0.799,0.799
4,23,49,40,0,0,3.274,3.311,49,11.993,11.993,12.074,12.074,12.123,12.123,0.798,0.798
5,23,49,40,0,0,3.274,3.311,53,11.999,11.999,12.080,12.080,12.130,12.130,0.799,0.799
6,23,49,40,0,0,3.273,3.310,47,12.000,12.000,12.089,12.089,12.123,12.123,0.798,0.798
7,23,49,40,0,0,3.273,3.310,47,12.000,12.000,12.089,12.089,12.123,12.123,0.799,0.799
8,23,49,39,0,0,3.272,3.313,48,12.000,12.000,12.089,12.089,12.130,12.130,0.799,0.799
9,23,49,39,0,0,3.273,3.311,51,12.003,12.003,12.082,12.082,12.134,12.134,0.798,0.798
10,23,49,39,0,0,3.275,3.310,46,12.003,12.003,12.082,12.082,12.127,12.127,0.798,0.798
11,23,49,39,0,0,3.275,3.310,46,12.003,12.003,12.082,12.082,12.127,12.127,0.798,0.798
12,23,49,40,0,0,3.277,3.311,49,12.000,12.000,12.085,12.085,12.131,12.131,0.802,0.802
13,23,49,40,0,0,3.268,3.314,82,11.956,11.956,12.049,12.049,12.087,12.087,0.797,0.797
14,23,49,40,0,0,3.278,3.313,82,11.959,11.959,12.039,12.039,12.086,12.086,0.804,0.804
15,23,49,40,0,0,3.278,3.313,80,11.959,11.959,12.039,12.039,12.086,12.086,0.799,0.799
16,23,49,40,0,0,3.276,3.313,81,11.953,11.953,12.032,12.032,12.078,12.078,0.806,0.806
17,23,49,40,0,0,3.273,3.313,85,11.949,11.949,12.023,12.023,12.083,12.083,0.796,0.796
18,23,49,40,0,0,3.273,3.313,85,11.949,11.949,12.023,12.023,12.083,12.083,0.795,0.795
19,23,49,40,0,0,3.271,3.313,81,11.948,11.948,12.046,12.046,12.090,12.090,0.800,0.800
20,23,49,40,0,0,3.274,3.313,73,11.957,11.957,12.046,12.046,12.091,12.091,0.810,0.810
21,23,49,41,0,0,3.269,3.312,73,11.937,11.937,12.039,12.039,12.073,12.073,0.796,0.796
22,23,49,41,0,0,3.269,3.312,83,11.937,11.937,12.039,12.039,12.073,12.073,0.805,0.805
23,23,49,41,0,0,3.272,3.312,79,11.943,11.943,12.012,12.012,12.089,12.089,0.795,0.795
24,23,49,41,0,0,3.276,3.312,79,11.947,11.947,12.046,12.046,12.075,12.075,0.794,0.794
25,23,49,41,0,0,3.276,3.312,79,11.947,11.947,12.046,12.046,12.075,12.075,0.799,0.799
26,23,49,41,0,0,3.272,3.312,84,11.946,11.946,12.019,12.019,12.082,12.082,0.801,0.801
27,23,49,41,0,0,3.274,3.312,77,11.957,11.957,12.025,12.025,12.104,12.104,0.793,0.793
28,23,49,41,0,0,3.274,3.312,77,11.957,11.957,12.025,12.025,12.104,12.104,0.798,0.798
29,23,49,41,0,0,3.271,3.314,80,11.960,11.960,12.046,12.046,12.082,12.082,0.794,0.794
30,23,49,41,0,0,3.272,3.313,81,11.949,11.949,12.028,12.028,12.083,12.083,0.808,0.808
31,23,49,41,0,0,3.274,3.314,81,11.944,11.944,12.039,12.039,12.079,12.079,0.796,0.796
32,23,50,41,0,0,3.274,3.314,77,11.944,11.944,12.039,12.039,12.079,12.079,0.789,0.789
33,23,50,41,0,0,3.274,3.314,85,11.949,11.949,12.038,12.038,12.080,12.080,0.796,0.796
34,23,50,41,0,0,3.273,3.312,75,11.950,11.950,12.023,12.023,12.080,12.080,0.798,0.798
35,23,50,41,0,0,3.273,3.312,75,11.950,11.950,12.023,12.023,12.080,12.080,0.804,0.804
36,23,50,41,0,0,3.264,3.313,83,11.949,11.949,12.015,12.015,12.068,12.068,0.801,0.801
37,23,50,41,0,0,3.273,3.313,78,11.943,11.943,12.052,12.052,12.081,12.081,0.795,0.795
38,23,50,41,0,0,3.273,3.313,78,11.943,11.943,12.052,12.052,12.081,12.081,0.813,0.813
39,23,50,41,0,0,3.273,3.314,81,11.962,11.962,12.048,12.048,12.083,12.083,0.802,0.802
40,23,50,41,0,0,3.280,3.314,82,11.948,11.948,12.032,12.032,12.082,12.082,0.796,0.796
41,23,50,41,0,0,3.273,3.313,82,11.948,11.948,12.033,12.033,12.093,12.093,0.799,0.799
42,23,50,42,0,0,3.273,3.313,83,11.948,11.948,12.033,12.033,12.093,12.093,0.792,0.792
43,23,50,42,0,0,3.272,3.314,77,11.958,11.958,12.036,12.036,12.088,12.088,0.793,0.793
44,23,50,42,0,0,3.276,3.313,80,11.942,11.942,12.032,12.032,12.080,12.080,0.801,0.801
45,23,51,42,0,0,3.276,3.313,80,11.942,11.942,12.032,12.032,12.080,12.080,0.793,0.793
46,23,51,42,0,0,3.274,3.314,82,11.948,11.948,12.025,12.025,12.086,12.086,0.799,0.799
47,23,51,42,0,0,3.275,3.313,77,11.944,11.944,12.022,12.022,12.096,12.096,0.808,0.808
48,23,51,42,0,0,3.273,3.312,77,11.959,11.959,12.028,12.028,12.089,12.089,0.796,0.796
49,23,51,42,0,0,3.273,3.312,85,11.959,11.959,12.028,12.028,12.089,12.089,0.796,0.796
50,23,51,42,0,0,3.273,3.314,79,11.966,11.966,12.048,12.048,12.082,12.082,0.804,0.804
51,23,51,42,0,0,3.276,3.313,81,11.949,11.949,12.034,12.034,12.077,12.077,0.798,0.798
52,23,51,42,0,0,3.276,3.313,81,11.949,11.949,12.034,12.034,12.077,12.077,0.796,0.796
53,23,51,42,0,0,3.275,3.313,84,11.944,11.944,12.037,12.037,12.077,12.077,0.797,0.797
54,23,51,42,0,0,3.274,3.314,80,11.946,11.946,12.020,12.020,12.083,12.083,0.799,0.799
55,23,51,42,0,0,3.273,3.312,80,11.947,11.947,12.037,12.037,12.078,12.078,0.795,0.795
56,23,51,42,0,0,3.273,3.312,82,11.947,11.947,12.037,12.037,12.078,12.078,0.793,0.793
57,23,51,42,0,0,3.269,3.313,83,11.953,11.953,12.037,12.037,12.096,12.096,0.802,0.802
58,23,51,42,0,0,3.272,3.312,79,11.946,11.946,12.042,12.042,12.091,12.091,0.799,0.799
59,23,51,42,0,0,3.272,3.312,79,11.946,11.946,12.042,12.042,12.091,12.091,0.805,0.805
60,23,51,42,0,0,3.273,3.312,82,11.949,11.949,12.038,12.038,12.084,12.084,0.797,0.797
61,23,51,42,0,0,3.275,3.314,79,11.948,11.948,12.035,12.035,12.084,12.084,0.809,0.809
62,23,51,42,0,0,3.275,3.313,79,11.949,11.949,12.041,12.041,12.088,12.088,0.798,0.798
63,23,51,42,0,0,3.275,3.313,81,11.949,11.949,12.041,12.041,12.088,12.088,0.796,0.796
64,23,51,42,0,0,3.269,3.314,82,11.943,11.943,12.038,12.038,12.083,12.083,0.786,0.786
65,23,51,42,0,0,3.276,3.311,79,11.949,11.949,12.028,12.028,12.061,12.061,0.802,0.802
66,23,51,42,0,0,3.276,3.311,79,11.949,11.949,12.028,12.028,12.061,12.061,0.814,0.814
67,23,51,42,0,0,3.276,3.314,79,11.954,11.954,12.025,12.025,12.088,12.088,0.813,0.813
68,23,52,42,0,0,3.275,3.313,82,11.960,11.960,12.037,12.037,12.086,12.086,0.806,0.806
69,23,52,42,0,0,3.274,3.312,82,11.947,11.947,12.021,12.021,12.098,12.098,0.798,0.798
70,23,52,42,0,0,3.274,3.312,81,11.947,11.947,12.021,12.021,12.098,12.098,0.795,0.795
71,23,52,42,0,0,3.271,3.313,82,11.954,11.954,12.034,12.034,12.078,12.078,0.794,0.794
72,23,52,42,0,0,3.273,3.311,80,11.952,11.952,12.029,12.029,12.078,12.078,0.802,0.802
73,23,52,42,0,0,3.273,3.311,80,11.952,11.952,12.029,12.029,12.078,12.078,0.800,0.800
74,23,52,42,0,0,3.271,3.313,83,11.956,11.956,12.042,12.042,12.091,12.091,0.796,0.796
75,23,52,42,0,0,3.273,3.313,81,11.954,11.954,12.030,12.030,12.091,12.091,0.789,0.789
76,23,52,42,0,0,3.272,3.313,86,11.956,11.956,12.027,12.027,12.082,12.082,0.797,0.797
77,23,52,42,0,0,3.272,3.313,86,11.956,11.956,12.027,12.027,12.082,12.082,0.797,0.797
78,23,52,42,0,0,3.276,3.312,88,11.961,11.961,12.042,12.042,12.109,12.109,0.791,0.791
79,23,52,42,0,0,3.275,3.312,77,11.962,11.962,12.040,12.040,12.089,12.089,0.796,0.796
80,23,52,42,0,0,3.277,3.313,77,11.951,11.951,12.034,12.034,12.089,12.089,0.796,0.796
81,23,52,42,0,0,3.277,3.313,84,11.951,11.951,12.034,12.034,12.089,12.089,0.801,0.801
82,23,52,42,0,0,3.273,3.314,79,11.945,11.945,12.035,12.035,12.088,12.088,0.785,0.785
83,23,52,42,0,0,3.268,3.314,80,11.939,11.939,12.038,12.038,12.084,12.084,0.797,0.797
84,23,52,42,0,0,3.268,3.314,80,11.939,11.939,12.038,12.038,12.084,12.084,0.799,0.799
85,23,52,43,0,0,3.276,3.313,82,11.949,11.949,12.034,12.034,12.086,12.086,0.794,0.794
86,23,52,43,0,0,3.271,3.313,76,11.953,11.953,12.020,12.020,12.071,12.071,0.799,0.799
87,23,52,43,0,0,3.276,3.313,76,11.946,11.946,12.034,12.034,12.088,12.088,0.799,0.799
88,23,52,42,0,0,3.276,3.313,83,11.946,11.946,12.034,12.034,12.088,12.088,0.796,0.796
89,23,52,43,0,0,3.273,3.314,85,11.939,11.939,12.022,12.022,12.066,12.066,0.798,0.798
90,23,52,43,0,0,3.276,3.314,79,11.945,11.945,12.030,12.030,12.099,12.099,0.796,0.796
91,23,52,43,0,0,3.276,3.314,79,11.945,11.945,12.030,12.030,12.099,12.099,0.797,0.797
92,23,52,43,0,0,3.273,3.314,85,11.950,11.950,12.037,12.037,12.098,12.098,0.798,0.798
93,23,52,43,0,0,3.278,3.314,81,11.949,11.949,12.025,12.025,12.086,12.086,0.805,0.805
94,23,52,42,0,0,3.274,3.313,81,11.954,11.954,12.033,12.033,12.088,12.088,0.798,0.798
95,23,52,42,0,0,3.274,3.313,78,11.954,11.954,12.033,12.033,12.088,12.088,0.814,0.814
96,23,52,42,0,0,3.269,3.313,88,11.946,11.946,12.028,12.028,12.074,12.074,0.803,0.803
97,23,52,42,0,0,3.278,3.312,74,11.940,11.940,12.042,12.042,12.089,12.089,0.802,0.802
98,23,52,42,0,0,3.278,3.312,74,11.940,11.940,12.042,12.042,12.089,12.089,0.798,0.798
99,23,52,42,0,0,3.272,3.315,84,11.952,11.952,12.031,12.031,12.100,12.100,0.795,0.795
100,23,52,42,0,0,3.275,3.313,82,11.949,11.949,12.027,12.027,12.079,12.079,0.800,0.800
101,23,52,43,0,0,3.269,3.312,83,11.947,11.947,12.046,12.046,12.073,12.073,0.799,0.799
102,23,52,42,0,0,3.269,3.312,79,11.947,11.947,12.046,12.046,12.073,12.073,0.797,0.797
103,23,52,42,0,0,3.270,3.313,86,11.957,11.957,12.047,12.047,12.097,12.097,0.785,0.785
104,23,52,42,0,0,3.274,3.312,77,11.953,11.953,12.042,12.042,12.078,12.078,0.792,0.792
105,23,52,42,0,0,3.274,3.312,77,11.953,11.953,12.042,12.042,12.078,12.078,0.796,0.796
106,23,52,43,0,0,3.276,3.312,81,11.950,11.950,12.037,12.037,12.076,12.076,0.796,0.796
107,23,52,43,0,0,3.273,3.314,82,11.947,11.947,12.028,12.028,12.078,12.078,0.802,0.802
108,23,52,43,0,0,3.271,3.315,82,11.948,11.948,12.029,12.029,12.084,12.084,0.802,0.802
109,23,52,43,0,0,3.271,3.315,80,11.948,11.948,12.029,12.029,12.084,12.084,0.800,0.800
110,23,52,43,0,0,3.273,3.313,82,11.957,11.957,12.029,12.029,12.094,12.094,0.784,0.784
111,23,52,43,0,0,3.273,3.313,82,11.944,11.944,12.031,12.031,12.074,12.074,0.802,0.802
112,23,52,43,0,0,3.273,3.313,82,11.944,11.944,12.031,12.031,12.074,12.074,0.795,0.795
113,23,52,43,0,0,3.273,3.314,83,11.951,11.951,12.026,12.026,12.091,12.091,0.799,0.799
