,Temp-PCB (C)_value,Temp-device (C)_value,Temp-vccint (C)_value,Temp-cage_temp_0 (C)_value,Temp-cage_temp_1 (C)_value,3v3_pex (V)_value,3v3_aux (V)_value,Power (Watts)_value,12v_pex (V)_value,12v_pex (A)_value,12v_aux_0 (V)_value,12v_aux_0 (A)_value,12v_aux_1 (V)_value,12v_aux_1 (A)_value,vccint (V)_value,vccint (A)_value
0,25,54,41,0,0,3.274,3.312,49,11.993,11.993,12.089,12.089,12.129,12.129,0.799,0.799
1,25,54,41,0,0,3.274,3.312,43,11.993,11.993,12.089,12.089,12.129,12.129,0.799,0.799
2,25,54,41,0,0,3.273,3.310,44,12.004,12.004,12.087,12.087,12.134,12.134,0.800,0.800
3,25,54,41,0,0,3.272,3.310,43,11.990,11.990,12.101,12.101,12.128,12.128,0.799,0.799
4,25,54,41,0,0,3.272,3.310,43,11.990,11.990,12.101,12.101,12.128,12.128,0.799,0.799
5,25,54,41,0,0,3.271,3.310,44,11.988,11.988,12.087,12.087,12.132,12.132,0.799,0.799
6,25,54,41,0,0,3.274,3.311,42,11.996,11.996,12.097,12.097,12.130,12.130,0.799,0.799
7,25,54,41,0,0,3.276,3.312,42,11.999,11.999,12.081,12.081,12.136,12.136,0.799,0.799
8,25,54,41,0,0,3.276,3.312,42,11.999,11.999,12.081,12.081,12.136,12.136,0.799,0.799
9,25,54,41,0,0,3.273,3.313,45,11.995,11.995,12.089,12.089,12.130,12.130,0.800,0.800
10,25,54,41,0,0,3.277,3.310,43,11.989,11.989,12.088,12.088,12.133,12.133,0.799,0.799
11,25,54,41,0,0,3.271,3.313,43,12.001,12.001,12.087,12.087,12.136,12.136,0.799,0.799
12,25,54,41,0,0,3.271,3.313,43,12.001,12.001,12.087,12.087,12.136,12.136,0.799,0.799
13,25,54,41,0,0,3.275,3.310,74,11.997,11.997,12.081,12.081,12.123,12.123,0.799,0.799
14,25,54,41,0,0,3.275,3.310,74,11.997,11.997,12.081,12.081,12.123,12.123,0.808,0.808
15,25,54,41,0,0,3.272,3.313,66,12.001,12.001,12.079,12.079,12.122,12.122,0.799,0.799
16,25,54,41,0,0,3.271,3.313,67,11.985,11.985,12.070,12.070,12.116,12.116,0.799,0.799
17,25,54,41,0,0,3.273,3.313,67,11.984,11.984,12.063,12.063,12.124,12.124,0.797,0.797
18,25,54,41,0,0,3.273,3.313,71,11.984,11.984,12.063,12.063,12.124,12.124,0.796,0.796
19,25,54,42,0,0,3.268,3.313,61,11.988,11.988,12.075,12.075,12.125,12.125,0.798,0.798
20,25,54,42,0,0,3.273,3.312,75,11.983,11.983,12.061,12.061,12.111,12.111,0.799,0.799
21,25,54,42,0,0,3.274,3.312,75,11.988,11.988,12.085,12.085,12.122,12.122,0.799,0.799
22,25,54,42,0,0,3.274,3.312,63,11.988,11.988,12.085,12.085,12.122,12.122,0.798,0.798
23,25,54,42,0,0,3.275,3.314,65,11.988,11.988,12.081,12.081,12.130,12.130,0.799,0.799
24,25,54,42,0,0,3.273,3.313,65,11.986,11.986,12.082,12.082,12.121,12.121,0.796,0.796
25,25,54,42,0,0,3.273,3.313,64,11.986,11.986,12.082,12.082,12.121,12.121,0.798,0.798
26,25,54,42,0,0,3.273,3.314,56,11.993,11.993,12.069,12.069,12.123,12.123,0.798,0.798
27,25,54,42,0,0,3.277,3.313,62,11.992,11.992,12.065,12.065,12.120,12.120,0.799,0.799
28,25,54,42,0,0,3.277,3.313,62,11.992,11.992,12.065,12.065,12.120,12.120,0.798,0.798
29,25,54,42,0,0,3.272,3.313,58,11.986,11.986,12.063,12.063,12.124,12.124,0.812,0.812
30,25,54,42,0,0,3.270,3.314,66,11.986,11.986,12.083,12.083,12.110,12.110,0.798,0.798
31,25,54,42,0,0,3.275,3.313,66,11.990,11.990,12.070,12.070,12.124,12.124,0.800,0.800
32,25,54,42,0,0,3.275,3.313,69,11.990,11.990,12.070,12.070,12.124,12.124,0.802,0.802
33,25,54,42,0,0,3.273,3.313,61,11.988,11.988,12.066,12.066,12.109,12.109,0.797,0.797
34,25,54,42,0,0,3.272,3.314,68,11.992,11.992,12.072,12.072,12.111,12.111,0.794,0.794
35,25,54,42,0,0,3.272,3.314,68,11.992,11.992,12.072,12.072,12.111,12.111,0.800,0.800
36,25,54,42,0,0,3.272,3.314,76,11.978,11.978,12.059,12.059,12.114,12.114,0.798,0.798
37,25,54,42,0,0,3.272,3.313,61,11.994,11.994,12.071,12.071,12.126,12.126,0.795,0.795
38,25,54,42,0,0,3.276,3.313,67,11.982,11.982,12.059,12.059,12.111,12.111,0.809,0.809
39,25,54,42,0,0,3.276,3.313,67,11.982,11.982,12.059,12.059,12.111,12.111,0.809,0.809
40,25,54,42,0,0,3.272,3.314,68,11.984,11.984,12.080,12.080,12.124,12.124,0.798,0.798
41,25,54,42,0,0,3.271,3.314,72,11.982,11.982,12.064,12.064,12.113,12.113,0.801,0.801
42,25,54,42,0,0,3.271,3.314,72,11.982,11.982,12.064,12.064,12.113,12.113,0.785,0.785
43,25,54,42,0,0,3.271,3.315,56,11.982,11.982,12.057,12.057,12.128,12.128,0.799,0.799
44,25,54,42,0,0,3.273,3.315,74,11.988,11.988,12.063,12.063,12.111,12.111,0.800,0.800
45,25,54,42,0,0,3.276,3.312,74,11.995,11.995,12.077,12.077,12.119,12.119,0.797,0.797
46,25,54,42,0,0,3.276,3.312,60,11.995,11.995,12.077,12.077,12.119,12.119,0.799,0.799
47,25,54,42,0,0,3.273,3.313,60,11.980,11.980,12.073,12.073,12.124,12.124,0.798,0.798
48,25,54,42,0,0,3.276,3.314,66,11.991,11.991,12.068,12.068,12.119,12.119,0.806,0.806
49,25,54,42,0,0,3.276,3.314,66,11.991,11.991,12.068,12.068,12.119,12.119,0.800,0.800
50,25,54,42,0,0,3.273,3.313,55,11.991,11.991,12.075,12.075,12.129,12.129,0.799,0.799
51,25,54,42,0,0,3.276,3.310,76,11.982,11.982,12.059,12.059,12.106,12.106,0.793,0.793
52,25,54,42,0,0,3.273,3.311,76,11.990,11.990,12.075,12.075,12.116,12.116,0.800,0.800
53,25,54,42,0,0,3.273,3.311,56,11.990,11.990,12.075,12.075,12.116,12.116,0.798,0.798
54,25,54,42,0,0,3.269,3.312,74,11.973,11.973,12.052,12.052,12.108,12.108,0.798,0.798
55,25,54,42,0,0,3.272,3.313,66,11.990,11.990,12.073,12.073,12.117,12.117,0.797,0.797
56,25,54,42,0,0,3.272,3.313,66,11.990,11.990,12.073,12.073,12.117,12.117,0.795,0.795
57,25,54,42,0,0,3.273,3.312,67,11.970,11.970,12.049,12.049,12.103,12.103,0.798,0.798
58,25,54,42,0,0,3.269,3.312,70,11.978,11.978,12.052,12.052,12.118,12.118,0.798,0.798
59,25,54,42,0,0,3.272,3.312,70,11.992,11.992,12.069,12.069,12.114,12.114,0.797,0.797
60,25,54,43,0,0,3.272,3.312,61,11.992,11.992,12.069,12.069,12.114,12.114,0.800,0.800
61,25,54,42,0,0,3.274,3.312,71,11.984,11.984,12.066,12.066,12.125,12.125,0.797,0.797
62,25,54,42,0,0,3.273,3.313,65,12.000,12.000,12.060,12.060,12.116,12.116,0.798,0.798
63,25,54,43,0,0,3.273,3.313,65,12.000,12.000,12.060,12.060,12.116,12.116,0.790,0.790
64,25,54,43,0,0,3.277,3.313,57,11.971,11.971,12.054,12.054,12.111,12.111,0.799,0.799
65,25,54,43,0,0,3.277,3.312,60,11.970,11.970,12.057,12.057,12.111,12.111,0.798,0.798
66,25,54,43,0,0,3.274,3.314,62,11.987,11.987,12.066,12.066,12.114,12.114,0.800,0.800
67,25,54,43,0,0,3.274,3.314,62,11.987,11.987,12.066,12.066,12.114,12.114,0.798,0.798
68,25,54,43,0,0,3.273,3.316,65,11.976,11.976,12.071,12.071,12.109,12.109,0.792,0.792
69,25,54,43,0,0,3.272,3.314,59,11.974,11.974,12.068,12.068,12.110,12.110,0.798,0.798
70,25,54,43,0,0,3.272,3.314,59,11.974,11.974,12.068,12.068,12.110,12.110,0.798,0.798
71,25,54,43,0,0,3.273,3.315,67,11.987,11.987,12.055,12.055,12.114,12.114,0.796,0.796
72,25,54,43,0,0,3.278,3.312,72,11.982,11.982,12.076,12.076,12.122,12.122,0.796,0.796
73,25,54,43,0,0,3.271,3.312,72,11.990,11.990,12.081,12.081,12.127,12.127,0.799,0.799
74,25,54,43,0,0,3.271,3.312,64,11.990,11.990,12.081,12.081,12.127,12.127,0.808,0.808
75,25,54,43,0,0,3.274,3.315,69,11.971,11.971,12.052,12.052,12.111,12.111,0.792,0.792
76,25,54,43,0,0,3.279,3.311,65,11.994,11.994,12.075,12.075,12.118,12.118,0.799,0.799
77,25,54,43,0,0,3.279,3.311,65,11.994,11.994,12.075,12.075,12.118,12.118,0.796,0.796
78,25,54,43,0,0,3.276,3.313,73,11.984,11.984,12.067,12.067,12.110,12.110,0.796,0.796
79,25,54,43,0,0,3.269,3.313,67,11.992,11.992,12.086,12.086,12.113,12.113,0.801,0.801
80,25,54,43,0,0,3.273,3.313,67,11.986,11.986,12.059,12.059,12.122,12.122,0.798,0.798
81,25,54,43,0,0,3.273,3.313,58,11.986,11.986,12.059,12.059,12.122,12.122,0.800,0.800
82,25,54,43,0,0,3.273,3.314,75,11.981,11.981,12.068,12.068,12.114,12.114,0.797,0.797
83,25,54,43,0,0,3.274,3.313,57,11.992,11.992,12.064,12.064,12.123,12.123,0.806,0.806
84,25,54,43,0,0,3.274,3.313,57,11.992,11.992,12.064,12.064,12.123,12.123,0.798,0.798
85,25,54,43,0,0,3.276,3.313,59,11.971,11.971,12.065,12.065,12.109,12.109,0.810,0.810
86,25,54,43,0,0,3.273,3.313,64,11.990,11.990,12.078,12.078,12.121,12.121,0.798,0.798
87,25,54,43,0,0,3.269,3.312,64,11.982,11.982,12.067,12.067,12.116,12.116,0.799,0.799
88,25,54,43,0,0,3.269,3.312,59,11.982,11.982,12.067,12.067,12.116,12.116,0.800,0.800
89,25,54,43,0,0,3.271,3.312,69,11.985,11.985,12.069,12.069,12.115,12.115,0.799,0.799
90,25,54,43,0,0,3.269,3.314,62,11.990,11.990,12.086,12.086,12.132,12.132,0.798,0.798
91,25,54,43,0,0,3.269,3.314,62,11.990,11.990,12.086,12.086,12.132,12.132,0.801,0.801
92,25,54,43,0,0,3.270,3.312,67,11.980,11.980,12.057,12.057,12.111,12.111,0.797,0.797
93,25,54,43,0,0,3.273,3.312,73,11.988,11.988,12.067,12.067,12.121,12.121,0.802,0.802
94,25,54,43,0,0,3.273,3.314,73,11.988,11.988,12.068,12.068,12.121,12.121,0.806,0.806
95,25,54,43,0,0,3.273,3.314,66,11.988,11.988,12.068,12.068,12.121,12.121,0.809,0.809
96,25,54,43,0,0,3.272,3.313,66,11.984,11.984,12.065,12.065,12.121,12.121,0.799,0.799
97,25,54,43,0,0,3.272,3.312,67,11.986,11.986,12.075,12.075,12.122,12.122,0.788,0.788
98,25,54,43,0,0,3.272,3.312,67,11.986,11.986,12.075,12.075,12.122,12.122,0.802,0.802
99,25,54,43,0,0,3.270,3.313,73,11.973,11.973,12.062,12.062,12.102,12.102,0.797,0.797
100,25,54,43,0,0,3.278,3.312,65,11.986,11.986,12.065,12.065,12.116,12.116,0.810,0.810
101,25,54,43,0,0,3.278,3.312,65,11.986,11.986,12.065,12.065,12.116,12.116,0.805,0.805
102,25,54,43,0,0,3.274,3.314,61,11.982,11.982,12.067,12.067,12.118,12.118,0.787,0.787
103,25,54,43,0,0,3.276,3.312,70,11.982,11.982,12.063,12.063,12.105,12.105,0.798,0.798
104,25,54,43,0,0,3.272,3.315,70,11.996,11.996,12.068,12.068,12.120,12.120,0.798,0.798
105,25,54,43,0,0,3.272,3.315,56,11.996,11.996,12.068,12.068,12.120,12.120,0.799,0.799
106,25,54,43,0,0,3.274,3.315,70,11.982,11.982,12.059,12.059,12.117,12.117,0.796,0.796
107,25,54,43,0,0,3.272,3.314,59,11.981,11.981,12.078,12.078,12.120,12.120,0.784,0.784
108,25,54,43,0,0,3.272,3.314,59,11.981,11.981,12.078,12.078,12.120,12.120,0.800,0.800
109,25,54,43,0,0,3.277,3.314,59,11.978,11.978,12.055,12.055,12.102,12.102,0.800,0.800
110,25,54,43,0,0,3.275,3.313,77,11.980,11.980,12.071,12.071,12.117,12.117,0.799,0.799
111,25,54,43,0,0,3.275,3.313,77,11.980,11.980,12.071,12.071,12.117,12.117,0.798,0.798
112,25,54,43,0,0,3.278,3.311,58,11.989,11.989,12.074,12.074,12.116,12.116,0.797,0.797
113,25,54,43,0,0,3.271,3.314,59,11.983,11.983,12.056,12.056,12.105,12.105,0.803,0.803
114,25,54,43,0,0,3.275,3.313,59,11.992,11.992,12.076,12.076,12.128,12.128,0.796,0.796
115,25,54,43,0,0,3.275,3.313,67,11.992,11.992,12.076,12.076,12.128,12.128,0.811,0.811
116,25,54,43,0,0,3.273,3.312,68,11.986,11.986,12.065,12.065,12.112,12.112,0.799,0.799
117,25,54,43,0,0,3.273,3.314,64,11.992,11.992,12.057,12.057,12.122,12.122,0.799,0.799
118,25,54,43,0,0,3.273,3.314,64,11.992,11.992,12.057,12.057,12.122,12.122,0.799,0.799
119,25,54,43,0,0,3.269,3.313,67,11.991,11.991,12.076,12.076,12.111,12.111,0.800,0.800
120,25,54,43,0,0,3.270,3.315,60,11.989,11.989,12.072,12.072,12.116,12.116,0.797,0.797
121,25,54,43,0,0,3.270,3.315,60,11.989,11.989,12.072,12.072,12.116,12.116,0.798,0.798
122,25,54,43,0,0,3.275,3.313,65,11.982,11.982,12.063,12.063,12.109,12.109,0.791,0.791
123,25,54,43,0,0,3.277,3.314,71,11.992,11.992,12.065,12.065,12.127,12.127,0.808,0.808
124,25,54,43,0,0,3.277,3.313,71,11.984,11.984,12.071,12.071,12.114,12.114,0.788,0.788
125,25,54,43,0,0,3.277,3.313,58,11.984,11.984,12.071,12.071,12.114,12.114,0.797,0.797
126,25,54,43,0,0,3.271,3.312,57,11.990,11.990,12.070,12.070,12.121,12.121,0.797,0.797
127,25,54,43,0,0,3.270,3.314,60,11.975,11.975,12.055,12.055,12.110,12.110,0.796,0.796
128,25,54,43,0,0,3.270,3.314,60,11.975,11.975,12.055,12.055,12.110,12.110,0.800,0.800
129,25,54,43,0,0,3.274,3.313,69,11.987,11.987,12.068,12.068,12.108,12.108,0.798,0.798
130,25,54,43,0,0,3.274,3.314,57,11.988,11.988,12.067,12.067,12.112,12.112,0.796,0.796
131,25,54,43,0,0,3.273,3.311,57,11.986,11.986,12.070,12.070,12.126,12.126,0.797,0.797
132,25,54,43,0,0,3.273,3.311,70,11.986,11.986,12.070,12.070,12.126,12.126,0.796,0.796
133,25,54,43,0,0,3.271,3.313,62,11.997,11.997,12.089,12.089,12.129,12.129,0.791,0.791
134,25,54,43,0,0,3.274,3.313,61,11.973,11.973,12.037,12.037,12.100,12.100,0.799,0.799
135,25,54,43,0,0,3.274,3.313,61,11.973,11.973,12.037,12.037,12.100,12.100,0.790,0.790
136,25,54,43,0,0,3.272,3.313,70,11.980,11.980,12.079,12.079,12.117,12.117,0.792,0.792
137,25,54,43,0,0,3.274,3.314,65,11.987,11.987,12.067,12.067,12.116,12.116,0.798,0.798
138,25,54,43,0,0,3.272,3.314,65,11.989,11.989,12.068,12.068,12.111,12.111,0.797,0.797
139,25,54,43,0,0,3.272,3.314,69,11.989,11.989,12.068,12.068,12.111,12.111,0.799,0.799
140,25,54,43,0,0,3.272,3.312,70,11.987,11.987,12.073,12.073,12.119,12.119,0.802,0.802
141,25,54,43,0,0,3.277,3.313,72,11.975,11.975,12.062,12.062,12.116,12.116,0.801,0.801
142,25,54,43,0,0,3.277,3.313,72,11.975,11.975,12.062,12.062,12.116,12.116,0.799,0.799
143,25,54,43,0,0,3.274,3.314,65,11.997,11.997,12.074,12.074,12.130,12.130,0.799,0.799
144,25,54,43,0,0,3.273,3.314,62,11.980,11.980,12.055,12.055,12.111,12.111,0.799,0.799
145,25,54,43,0,0,3.273,3.314,62,11.980,11.980,12.055,12.055,12.111,12.111,0.801,0.801
146,25,54,43,0,0,3.275,3.313,79,11.981,11.981,12.068,12.068,12.124,12.124,0.798,0.798
147,25,54,43,0,0,3.272,3.314,58,11.984,11.984,12.071,12.071,12.120,12.120,0.790,0.790
148,25,54,43,0,0,3.275,3.312,58,11.984,11.984,12.073,12.073,12.111,12.111,0.805,0.805
149,25,54,43,0,0,3.275,3.312,64,11.984,11.984,12.073,12.073,12.111,12.111,0.796,0.796
150,25,54,43,0,0,3.270,3.314,60,11.992,11.992,12.088,12.088,12.130,12.130,0.798,0.798
151,25,54,43,0,0,3.275,3.314,58,11.980,11.980,12.070,12.070,12.111,12.111,0.798,0.798
152,25,54,43,0,0,3.275,3.314,58,11.980,11.980,12.070,12.070,12.111,12.111,0.796,0.796
153,25,54,43,0,0,3.273,3.315,75,11.984,11.984,12.061,12.061,12.112,12.112,0.801,0.801
154,25,54,43,0,0,3.273,3.313,44,11.991,11.991,12.071,12.071,12.116,12.116,0.799,0.799
155,25,54,43,0,0,3.271,3.312,45,12.003,12.003,12.093,12.093,12.127,12.127,0.799,0.799
156,25,54,43,0,0,3.271,3.312,45,12.003,12.003,12.093,12.093,12.127,12.127,0.799,0.799
157,25,54,42,0,0,3.273,3.314,50,12.001,12.001,12.089,12.089,12.121,12.121,0.799,0.799
158,25,54,42,0,0,3.269,3.312,43,12.004,12.004,12.078,12.078,12.138,12.138,0.798,0.798
159,25,54,42,0,0,3.272,3.311,45,11.998,11.998,12.084,12.084,12.134,12.134,0.800,0.800
160,25,54,42,0,0,3.272,3.311,45,11.998,11.998,12.084,12.084,12.134,12.134,0.799,0.799
161,25,54,42,0,0,3.272,3.312,49,11.997,11.997,12.072,12.072,12.128,12.128,0.800,0.800
162,25,54,42,0,0,3.270,3.312,43,12.008,12.008,12.091,12.091,12.135,12.135,0.798,0.798
163,25,54,42,0,0,3.269,3.312,43,12.006,12.006,12.078,12.078,12.125,12.125,0.799,0.799
164,25,54,42,0,0,3.269,3.312,43,12.006,12.006,12.078,12.078,12.125,12.125,0.799,0.799
165,25,54,42,0,0,3.279,3.312,48,11.992,11.992,12.094,12.094,12.137,12.137,0.798,0.798
166,25,54,42,0,0,3.270,3.312,43,12.002,12.002,12.085,12.085,12.130,12.130,0.799,0.799
167,25,54,42,0,0,3.270,3.312,43,12.002,12.002,12.085,12.085,12.130,12.130,0.799,0.799
168,25,54,42,0,0,3.279,3.312,43,11.998,11.998,12.084,12.084,12.125,12.125,0.799,0.799
169,25,54,42,0,0,3.273,3.309,47,12.001,12.001,12.089,12.089,12.135,12.135,0.799,0.799
170,25,54,42,0,0,3.274,3.312,47,12.003,12.003,12.078,12.078,12.125,12.125,0.799,0.799
171,25,54,42,0,0,3.274,3.312,43,12.003,12.003,12.078,12.078,12.125,12.125,0.800,0.800
172,25,54,42,0,0,3.271,3.311,48,11.997,11.997,12.084,12.084,12.128,12.128,0.799,0.799
173,25,54,42,0,0,3.269,3.311,44,11.992,11.992,12.092,12.092,12.132,12.132,0.799,0.799
174,25,54,42,0,0,3.277,3.312,44,11.996,11.996,12.081,12.081,12.127,12.127,0.799,0.799
175,25,54,42,0,0,3.277,3.312,43,11.996,11.996,12.081,12.081,12.127,12.127,0.799,0.799
176,25,54,42,0,0,3.273,3.312,46,11.988,11.988,12.083,12.083,12.128,12.128,0.799,0.799
177,25,54,42,0,0,3.280,3.313,46,12.005,12.005,12.077,12.077,12.124,12.124,0.799,0.799
178,25,54,42,0,0,3.280,3.313,45,12.005,12.005,12.077,12.077,12.124,12.124,0.799,0.799
179,25,54,42,0,0,3.273,3.312,43,12.008,12.008,12.075,12.075,12.123,12.123,0.799,0.799
180,25,54,42,0,0,3.275,3.312,47,11.998,11.998,12.086,12.086,12.127,12.127,0.799,0.799
181,25,54,42,0,0,3.275,3.312,47,11.998,11.998,12.086,12.086,12.127,12.127,0.799,0.799
182,25,54,42,0,0,3.272,3.311,44,12.002,12.002,12.080,12.080,12.131,12.131,0.800,0.800
183,25,54,42,0,0,3.270,3.312,43,11.993,11.993,12.083,12.083,12.135,12.135,0.799,0.799
184,25,54,42,0,0,3.271,3.311,48,12.000,12.000,12.078,12.078,12.130,12.130,0.798,0.798
185,25,54,42,0,0,3.271,3.311,48,12.000,12.000,12.078,12.078,12.130,12.130,0.799,0.799
186,25,54,42,0,0,3.274,3.313,43,11.998,11.998,12.092,12.092,12.143,12.143,0.799,0.799
187,25,54,42,0,0,3.278,3.311,44,11.991,11.991,12.086,12.086,12.129,12.129,0.799,0.799
188,25,54,42,0,0,3.276,3.311,44,12.002,12.002,12.075,12.075,12.139,12.139,0.799,0.799
189,25,54,42,0,0,3.276,3.311,45,12.002,12.002,12.075,12.075,12.139,12.139,0.799,0.799
190,25,54,42,0,0,3.267,3.312,43,11.994,11.994,12.087,12.087,12.136,12.136,0.799,0.799
191,25,54,42,0,0,3.273,3.312,44,12.000,12.000,12.089,12.089,12.136,12.136,0.799,0.799
192,25,54,42,0,0,3.280,3.312,44,12.000,12.000,12.078,12.078,12.130,12.130,0.799,0.799
193,25,54,42,0,0,3.280,3.312,44,12.000,12.000,12.078,12.078,12.130,12.130,0.799,0.799
194,25,54,42,0,0,3.271,3.313,43,11.995,11.995,12.084,12.084,12.123,12.123,0.799,0.799
195,25,54,42,0,0,3.273,3.312,49,12.008,12.008,12.086,12.086,12.130,12.130,0.799,0.799
196,25,54,42,0,0,3.273,3.312,49,12.008,12.008,12.086,12.086,12.130,12.130,0.799,0.799
197,25,54,41,0,0,3.275,3.312,44,11.984,11.984,12.091,12.091,12.138,12.138,0.800,0.800
198,25,54,41,0,0,3.273,3.311,43,11.999,11.999,12.082,12.082,12.135,12.135,0.800,0.800
199,25,54,41,0,0,3.272,3.312,43,12.001,12.001,12.089,12.089,12.139,12.139,0.799,0.799
