,Temp-PCB (C)_value,Temp-device (C)_value,Temp-vccint (C)_value,Temp-cage_temp_0 (C)_value,Temp-cage_temp_1 (C)_value,3v3_pex (V)_value,3v3_aux (V)_value,Power (Watts)_value,12v_pex (V)_value,12v_pex (A)_value,12v_aux_0 (V)_value,12v_aux_0 (A)_value,12v_aux_1 (V)_value,12v_aux_1 (A)_value,vccint (V)_value,vccint (A)_value
0,25,54,41,0,0,3.271,3.312,43,12.001,12.001,12.088,12.088,12.139,12.139,0.799,0.799
1,25,54,41,0,0,3.273,3.312,46,12.007,12.007,12.091,12.091,12.132,12.132,0.799,0.799
2,25,54,41,0,0,3.273,3.310,46,11.994,11.994,12.094,12.094,12.139,12.139,0.799,0.799
3,25,54,41,0,0,3.273,3.310,42,11.994,11.994,12.094,12.094,12.139,12.139,0.799,0.799
4,25,54,41,0,0,3.271,3.312,48,12.003,12.003,12.086,12.086,12.132,12.132,0.799,0.799
5,25,54,41,0,0,3.274,3.311,47,12.004,12.004,12.087,12.087,12.136,12.136,0.799,0.799
6,25,54,41,0,0,3.274,3.311,47,12.004,12.004,12.087,12.087,12.136,12.136,0.799,0.799
7,25,54,41,0,0,3.270,3.312,42,12.004,12.004,12.081,12.081,12.131,12.131,0.799,0.799
8,25,54,41,0,0,3.276,3.312,42,12.001,12.001,12.089,12.089,12.136,12.136,0.799,0.799
9,25,54,41,0,0,3.273,3.311,42,11.996,11.996,12.086,12.086,12.133,12.133,0.799,0.799
10,25,54,41,0,0,3.273,3.311,42,11.996,11.996,12.086,12.086,12.133,12.133,0.798,0.798
11,25,54,41,0,0,3.274,3.313,44,12.001,12.001,12.087,12.087,12.125,12.125,0.799,0.799
12,25,54,41,0,0,3.273,3.312,44,11.997,11.997,12.093,12.093,12.138,12.138,0.799,0.799
13,25,54,41,0,0,3.273,3.312,42,11.997,11.997,12.093,12.093,12.138,12.138,0.798,0.798
14,25,54,41,0,0,3.271,3.311,57,11.999,11.999,12.076,12.076,12.131,12.131,0.798,0.798
15,25,54,41,0,0,3.272,3.312,51,11.999,11.999,12.093,12.093,12.129,12.129,0.805,0.805
16,25,54,41,0,0,3.272,3.312,51,11.999,11.999,12.093,12.093,12.129,12.129,0.807,0.807
17,25,54,41,0,0,3.271,3.313,54,11.996,11.996,12.070,12.070,12.129,12.129,0.797,0.797
18,25,54,41,0,0,3.274,3.312,52,12.001,12.001,12.074,12.074,12.125,12.125,0.797,0.797
19,25,54,41,0,0,3.276,3.312,52,11.991,11.991,12.091,12.091,12.127,12.127,0.798,0.798
20,25,54,41,0,0,3.276,3.312,51,11.991,11.991,12.091,12.091,12.127,12.127,0.799,0.799
21,25,54,41,0,0,3.273,3.312,53,12.000,12.000,12.085,12.085,12.129,12.129,0.799,0.799
