,Temp-PCB (C)_value,Temp-device (C)_value,Temp-vccint (C)_value,Temp-cage_temp_0 (C)_value,Temp-cage_temp_1 (C)_value,3v3_pex (V)_value,3v3_aux (V)_value,Power (Watts)_value,12v_pex (V)_value,12v_pex (A)_value,12v_aux_0 (V)_value,12v_aux_0 (A)_value,12v_aux_1 (V)_value,12v_aux_1 (A)_value,vccint (V)_value,vccint (A)_value
0,25,54,41,0,0,3.273,3.312,47,12.005,12.005,12.079,12.079,12.122,12.122,0.799,0.799
1,25,54,41,0,0,3.275,3.312,43,12.007,12.007,12.084,12.084,12.135,12.135,0.798,0.798
2,25,54,41,0,0,3.269,3.312,42,11.998,11.998,12.082,12.082,12.128,12.128,0.799,0.799
3,25,54,41,0,0,3.271,3.313,42,12.008,12.008,12.082,12.082,12.134,12.134,0.799,0.799
4,25,54,41,0,0,3.271,3.313,48,12.008,12.008,12.082,12.082,12.134,12.134,0.799,0.799
5,25,54,41,0,0,3.273,3.312,42,12.001,12.001,12.085,12.085,12.133,12.133,0.800,0.800
6,25,54,41,0,0,3.277,3.312,44,11.999,11.999,12.084,12.084,12.133,12.133,0.799,0.799
7,25,54,41,0,0,3.277,3.312,44,11.999,11.999,12.084,12.084,12.133,12.133,0.800,0.800
8,25,54,41,0,0,3.269,3.312,42,11.999,11.999,12.091,12.091,12.120,12.120,0.799,0.799
9,25,54,41,0,0,3.275,3.312,47,12.003,12.003,12.086,12.086,12.129,12.129,0.800,0.800
10,25,54,41,0,0,3.276,3.311,41,11.999,11.999,12.079,12.079,12.130,12.130,0.799,0.799
11,25,54,41,0,0,3.276,3.311,41,11.999,11.999,12.079,12.079,12.130,12.130,0.799,0.799
12,25,54,41,0,0,3.272,3.312,41,12.003,12.003,12.086,12.086,12.128,12.128,0.799,0.799
13,25,54,41,0,0,3.270,3.311,65,11.996,11.996,12.080,12.080,12.132,12.132,0.798,0.798
14,25,54,41,0,0,3.270,3.311,65,11.996,11.996,12.080,12.080,12.132,12.132,0.804,0.804
15,25,54,41,0,0,3.278,3.312,59,11.993,11.993,12.066,12.066,12.122,12.122,0.800,0.800
16,25,54,41,0,0,3.270,3.312,58,11.998,11.998,12.083,12.083,12.124,12.124,0.798,0.798
17,25,54,42,0,0,3.270,3.312,58,11.998,11.998,12.083,12.083,12.124,12.124,0.799,0.799
18,25,54,42,0,0,3.275,3.311,57,12.001,12.001,12.083,12.083,12.125,12.125,0.796,0.796
19,25,54,42,0,0,3.272,3.313,51,11.996,11.996,12.090,12.090,12.125,12.125,0.797,0.797
20,25,54,42,0,0,3.271,3.311,51,11.993,11.993,12.061,12.061,12.130,12.130,0.797,0.797
