,Temp-PCB (C)_value,Temp-device (C)_value,Temp-vccint (C)_value,Temp-cage_temp_0 (C)_value,Temp-cage_temp_1 (C)_value,3v3_pex (V)_value,3v3_aux (V)_value,Power (Watts)_value,12v_pex (V)_value,12v_pex (A)_value,12v_aux_0 (V)_value,12v_aux_0 (A)_value,12v_aux_1 (V)_value,12v_aux_1 (A)_value,vccint (V)_value,vccint (A)_value
0,23,52,40,0,0,3.273,3.311,46,11.994,11.994,12.089,12.089,12.133,12.133,0.799,0.799
1,23,52,40,0,0,3.273,3.311,49,12.000,12.000,12.087,12.087,12.127,12.127,0.798,0.798
2,23,52,40,0,0,3.271,3.312,52,12.001,12.001,12.085,12.085,12.132,12.132,0.799,0.799
3,23,52,40,0,0,3.273,3.312,47,12.003,12.003,12.081,12.081,12.132,12.132,0.799,0.799
4,23,52,40,0,0,3.273,3.312,47,12.003,12.003,12.081,12.081,12.132,12.132,0.799,0.799
5,23,52,40,0,0,3.268,3.311,49,11.993,11.993,12.082,12.082,12.132,12.132,0.799,0.799
6,23,52,40,0,0,3.272,3.312,53,12.002,12.002,12.096,12.096,12.129,12.129,0.798,0.798
7,23,52,40,0,0,3.272,3.310,53,12.000,12.000,12.084,12.084,12.132,12.132,0.798,0.798
8,23,52,40,0,0,3.272,3.310,46,12.000,12.000,12.084,12.084,12.132,12.132,0.799,0.799
9,23,52,40,0,0,3.271,3.311,51,12.004,12.004,12.078,12.078,12.129,12.129,0.798,0.798
10,23,52,40,0,0,3.276,3.312,50,11.994,11.994,12.089,12.089,12.132,12.132,0.798,0.798
11,23,52,40,0,0,3.276,3.313,50,12.002,12.002,12.086,12.086,12.132,12.132,0.799,0.799
12,23,52,40,0,0,3.276,3.313,47,12.002,12.002,12.086,12.086,12.132,12.132,0.799,0.799
13,23,52,40,0,0,3.270,3.312,47,12.000,12.000,12.089,12.089,12.128,12.128,0.798,0.798
14,23,52,40,0,0,3.270,3.312,51,12.000,12.000,12.089,12.089,12.128,12.128,0.799,0.799
15,23,52,40,0,0,3.271,3.313,79,11.974,11.974,12.052,12.052,12.107,12.107,0.809,0.809
16,23,52,40,0,0,3.273,3.315,78,11.967,11.967,12.035,12.035,12.112,12.112,0.795,0.795
17,23,52,40,0,0,3.273,3.315,82,11.967,11.967,12.035,12.035,12.112,12.112,0.795,0.795
18,23,52,40,0,0,3.269,3.313,86,11.954,11.954,12.030,12.030,12.086,12.086,0.804,0.804
19,23,52,40,0,0,3.273,3.312,73,11.954,11.954,12.024,12.024,12.087,12.087,0.796,0.796
20,23,52,40,0,0,3.271,3.312,73,11.955,11.955,12.035,12.035,12.099,12.099,0.805,0.805
21,23,52,41,0,0,3.271,3.312,79,11.955,11.955,12.035,12.035,12.099,12.099,0.802,0.802
22,23,52,41,0,0,3.269,3.313,83,11.956,11.956,12.035,12.035,12.073,12.073,0.799,0.799
23,23,52,41,0,0,3.273,3.313,83,11.950,11.950,12.022,12.022,12.081,12.081,0.796,0.796
24,23,52,41,0,0,3.273,3.313,82,11.950,11.950,12.022,12.022,12.081,12.081,0.805,0.805
25,23,52,41,0,0,3.272,3.314,79,11.944,11.944,12.025,12.025,12.077,12.077,0.799,0.799
26,23,52,41,0,0,3.273,3.314,80,11.956,11.956,12.033,12.033,12.081,12.081,0.805,0.805
27,23,52,41,0,0,3.273,3.314,80,11.956,11.956,12.033,12.033,12.081,12.081,0.794,0.794
28,23,52,41,0,0,3.272,3.313,80,11.956,11.956,12.036,12.036,12.092,12.092,0.808,0.808
29,23,52,41,0,0,3.275,3.312,81,11.946,11.946,12.019,12.019,12.065,12.065,0.798,0.798
30,23,52,41,0,0,3.269,3.310,81,11.944,11.944,12.011,12.011,12.077,12.077,0.794,0.794
31,23,52,41,0,0,3.269,3.310,79,11.944,11.944,12.011,12.011,12.077,12.077,0.800,0.800
32,23,52,41,0,0,3.268,3.314,80,11.949,11.949,12.027,12.027,12.086,12.086,0.798,0.798
33,23,52,41,0,0,3.273,3.314,88,11.940,11.940,12.022,12.022,12.101,12.101,0.794,0.794
34,23,52,41,0,0,3.273,3.314,88,11.940,11.940,12.022,12.022,12.101,12.101,0.796,0.796
35,23,52,41,0,0,3.273,3.314,77,11.949,11.949,12.025,12.025,12.081,12.081,0.801,0.801
36,23,52,41,0,0,3.273,3.315,82,11.962,11.962,12.046,12.046,12.099,12.099,0.801,0.801
37,23,52,41,0,0,3.271,3.315,82,11.956,11.956,12.030,12.030,12.085,12.085,0.798,0.798
38,23,52,41,0,0,3.271,3.315,86,11.956,11.956,12.030,12.030,12.085,12.085,0.780,0.780
39,23,52,42,0,0,3.272,3.312,77,11.948,11.948,12.022,12.022,12.084,12.084,0.804,0.804
40,23,52,42,0,0,3.269,3.314,84,11.951,11.951,12.024,12.024,12.071,12.071,0.810,0.810
41,23,52,42,0,0,3.269,3.314,84,11.951,11.951,12.024,12.024,12.071,12.071,0.803,0.803
42,23,52,42,0,0,3.270,3.313,80,11.945,11.945,12.029,12.029,12.088,12.088,0.799,0.799
43,23,52,42,0,0,3.273,3.314,85,11.938,11.938,12.029,12.029,12.079,12.079,0.796,0.796
44,23,52,42,0,0,3.277,3.313,85,11.945,11.945,12.039,12.039,12.079,12.079,0.799,0.799
45,23,52,42,0,0,3.277,3.313,82,11.945,11.945,12.039,12.039,12.079,12.079,0.796,0.796
46,23,52,42,0,0,3.273,3.315,84,11.955,11.955,12.035,12.035,12.069,12.069,0.801,0.801
47,23,52,42,0,0,3.273,3.313,76,11.943,11.943,12.029,12.029,12.073,12.073,0.796,0.796
48,23,52,42,0,0,3.273,3.313,76,11.943,11.943,12.029,12.029,12.073,12.073,0.796,0.796
49,23,52,42,0,0,3.277,3.312,79,11.955,11.955,12.021,12.021,12.081,12.081,0.798,0.798
50,23,52,42,0,0,3.272,3.309,86,11.956,11.956,12.033,12.033,12.100,12.100,0.790,0.790
51,23,52,42,0,0,3.273,3.312,83,11.958,11.958,12.035,12.035,12.097,12.097,0.798,0.798
52,23,52,42,0,0,3.273,3.312,83,11.958,11.958,12.035,12.035,12.097,12.097,0.799,0.799
53,23,52,42,0,0,3.271,3.312,87,11.947,11.947,12.039,12.039,12.094,12.094,0.800,0.800
