,Temp-PCB (C)_value,Temp-device (C)_value,Temp-vccint (C)_value,Temp-cage_temp_0 (C)_value,Temp-cage_temp_1 (C)_value,3v3_pex (V)_value,3v3_aux (V)_value,Power (Watts)_value,12v_pex (V)_value,12v_pex (A)_value,12v_aux_0 (V)_value,12v_aux_0 (A)_value,12v_aux_1 (V)_value,12v_aux_1 (A)_value,vccint (V)_value,vccint (A)_value
0,25,54,41,0,0,3.272,3.311,52,12.005,12.005,12.089,12.089,12.135,12.135,0.799,0.799
1,25,54,41,0,0,3.271,3.313,47,12.004,12.004,12.093,12.093,12.133,12.133,0.799,0.799
2,25,54,41,0,0,3.267,3.313,47,12.002,12.002,12.087,12.087,12.136,12.136,0.799,0.799
3,25,54,41,0,0,3.267,3.313,47,12.002,12.002,12.087,12.087,12.136,12.136,0.799,0.799
4,25,54,41,0,0,3.274,3.310,51,11.993,11.993,12.092,12.092,12.128,12.128,0.799,0.799
5,25,54,41,0,0,3.273,3.312,47,12.004,12.004,12.079,12.079,12.132,12.132,0.799,0.799
6,25,54,41,0,0,3.269,3.310,49,12.002,12.002,12.087,12.087,12.132,12.132,0.799,0.799
7,25,54,41,0,0,3.269,3.310,49,12.002,12.002,12.087,12.087,12.132,12.132,0.799,0.799
8,25,54,41,0,0,3.273,3.313,53,12.005,12.005,12.091,12.091,12.135,12.135,0.799,0.799
9,25,54,41,0,0,3.274,3.311,52,12.004,12.004,12.087,12.087,12.132,12.132,0.798,0.798
10,25,54,41,0,0,3.274,3.312,52,12.003,12.003,12.088,12.088,12.130,12.130,0.799,0.799
11,25,54,41,0,0,3.274,3.312,47,12.003,12.003,12.088,12.088,12.130,12.130,0.799,0.799
12,25,54,41,0,0,3.271,3.309,72,11.992,11.992,12.076,12.076,12.129,12.129,0.798,0.798
13,25,54,41,0,0,3.274,3.314,76,11.988,11.988,12.068,12.068,12.124,12.124,0.798,0.798
14,25,54,42,0,0,3.274,3.314,76,11.988,11.988,12.068,12.068,12.124,12.124,0.793,0.793
15,25,54,42,0,0,3.278,3.312,75,11.979,11.979,12.061,12.061,12.105,12.105,0.798,0.798
16,25,54,42,0,0,3.274,3.314,58,11.992,11.992,12.079,12.079,12.119,12.119,0.796,0.796
17,25,54,42,0,0,3.270,3.311,58,11.980,11.980,12.058,12.058,12.109,12.109,0.798,0.798
18,25,54,42,0,0,3.270,3.311,60,11.980,11.980,12.058,12.058,12.109,12.109,0.807,0.807
19,25,54,42,0,0,3.273,3.312,63,11.980,11.980,12.063,12.063,12.111,12.111,0.798,0.798
20,25,54,42,0,0,3.273,3.313,72,11.976,11.976,12.062,12.062,12.122,12.122,0.808,0.808
21,25,54,42,0,0,3.273,3.313,72,11.976,11.976,12.062,12.062,12.122,12.122,0.798,0.798
22,25,54,42,0,0,3.271,3.312,76,11.981,11.981,12.072,12.072,12.119,12.119,0.798,0.798
23,25,54,42,0,0,3.272,3.314,61,11.987,11.987,12.071,12.071,12.118,12.118,0.798,0.798
24,25,54,42,0,0,3.272,3.314,61,11.987,11.987,12.071,12.071,12.118,12.118,0.806,0.806
25,25,54,42,0,0,3.272,3.314,55,11.981,11.981,12.081,12.081,12.106,12.106,0.795,0.795
26,25,54,42,0,0,3.274,3.313,81,11.984,11.984,12.067,12.067,12.122,12.122,0.799,0.799
27,25,54,42,0,0,3.272,3.312,81,11.965,11.965,12.046,12.046,12.100,12.100,0.798,0.798
28,25,54,42,0,0,3.272,3.312,59,11.965,11.965,12.046,12.046,12.100,12.100,0.797,0.797
29,25,54,42,0,0,3.275,3.313,76,11.982,11.982,12.064,12.064,12.108,12.108,0.799,0.799
30,25,54,42,0,0,3.272,3.313,71,11.992,11.992,12.066,12.066,12.116,12.116,0.797,0.797
31,25,54,42,0,0,3.272,3.313,71,11.992,11.992,12.066,12.066,12.116,12.116,0.797,0.797
32,25,54,42,0,0,3.274,3.312,58,11.983,11.983,12.071,12.071,12.115,12.115,0.794,0.794
33,25,54,42,0,0,3.271,3.313,76,11.988,11.988,12.061,12.061,12.124,12.124,0.797,0.797
34,25,54,42,0,0,3.273,3.312,76,11.981,11.981,12.065,12.065,12.119,12.119,0.797,0.797
35,25,54,42,0,0,3.273,3.312,72,11.981,11.981,12.065,12.065,12.119,12.119,0.801,0.801
36,25,54,42,0,0,3.273,3.314,64,11.989,11.989,12.066,12.066,12.115,12.115,0.798,0.798
37,25,54,42,0,0,3.273,3.313,66,11.967,11.967,12.054,12.054,12.106,12.106,0.798,0.798
38,25,54,42,0,0,3.273,3.313,66,11.967,11.967,12.054,12.054,12.106,12.106,0.796,0.796
39,25,54,43,0,0,3.274,3.314,65,11.988,11.988,12.064,12.064,12.123,12.123,0.794,0.794
40,25,54,43,0,0,3.274,3.314,74,11.966,11.966,12.046,12.046,12.100,12.100,0.798,0.798
41,25,54,42,0,0,3.269,3.313,74,11.976,11.976,12.059,12.059,12.104,12.104,0.796,0.796
42,25,54,43,0,0,3.269,3.313,63,11.976,11.976,12.059,12.059,12.104,12.104,0.792,0.792
43,25,54,43,0,0,3.270,3.313,74,11.981,11.981,12.063,12.063,12.121,12.121,0.799,0.799
44,25,54,43,0,0,3.272,3.313,60,11.971,11.971,12.057,12.057,12.110,12.110,0.798,0.798
45,25,54,43,0,0,3.272,3.313,60,11.971,11.971,12.057,12.057,12.110,12.110,0.798,0.798
