,Temp-PCB (C)_value,Temp-device (C)_value,Temp-vccint (C)_value,Temp-cage_temp_0 (C)_value,Temp-cage_temp_1 (C)_value,3v3_pex (V)_value,3v3_aux (V)_value,Power (Watts)_value,12v_pex (V)_value,12v_pex (A)_value,12v_aux_0 (V)_value,12v_aux_0 (A)_value,12v_aux_1 (V)_value,12v_aux_1 (A)_value,vccint (V)_value,vccint (A)_value
0,23,52,39,0,0,3.274,3.311,45,12.007,12.007,12.086,12.086,12.126,12.126,0.800,0.800
1,23,52,39,0,0,3.274,3.311,45,12.007,12.007,12.086,12.086,12.126,12.126,0.799,0.799
2,23,52,39,0,0,3.278,3.312,45,12.011,12.011,12.080,12.080,12.121,12.121,0.799,0.799
3,23,52,39,0,0,3.275,3.309,48,11.997,11.997,12.080,12.080,12.135,12.135,0.799,0.799
4,23,52,39,0,0,3.270,3.311,48,12.001,12.001,12.080,12.080,12.132,12.132,0.799,0.799
5,23,52,39,0,0,3.270,3.311,42,12.001,12.001,12.080,12.080,12.132,12.132,0.799,0.799
6,23,52,39,0,0,3.273,3.312,42,12.001,12.001,12.087,12.087,12.125,12.125,0.800,0.800
7,23,52,39,0,0,3.274,3.312,45,11.998,11.998,12.087,12.087,12.131,12.131,0.799,0.799
8,23,52,39,0,0,3.274,3.312,45,11.998,11.998,12.087,12.087,12.131,12.131,0.799,0.799
9,23,52,39,0,0,3.272,3.312,45,11.992,11.992,12.089,12.089,12.129,12.129,0.799,0.799
10,23,52,39,0,0,3.275,3.309,47,11.990,11.990,12.101,12.101,12.133,12.133,0.799,0.799
11,23,52,39,0,0,3.270,3.311,47,12.001,12.001,12.078,12.078,12.129,12.129,0.799,0.799
12,23,52,39,0,0,3.270,3.311,43,12.001,12.001,12.078,12.078,12.129,12.129,0.808,0.808
13,23,52,39,0,0,3.273,3.314,74,11.967,11.967,12.053,12.053,12.089,12.089,0.799,0.799
14,23,52,39,0,0,3.269,3.314,83,11.969,11.969,12.043,12.043,12.088,12.088,0.788,0.788
15,23,52,40,0,0,3.269,3.314,83,11.969,11.969,12.043,12.043,12.088,12.088,0.798,0.798
16,23,52,40,0,0,3.279,3.313,73,11.968,11.968,12.055,12.055,12.111,12.111,0.795,0.795
17,23,52,40,0,0,3.275,3.313,76,11.967,11.967,12.053,12.053,12.097,12.097,0.791,0.791
18,23,52,40,0,0,3.275,3.313,76,11.967,11.967,12.053,12.053,12.097,12.097,0.803,0.803
19,23,52,40,0,0,3.275,3.314,74,11.968,11.968,12.045,12.045,12.105,12.105,0.801,0.801
20,23,52,40,0,0,3.270,3.313,71,11.958,11.958,12.037,12.037,12.098,12.098,0.795,0.795
21,23,52,40,0,0,3.268,3.314,71,11.960,11.960,12.032,12.032,12.089,12.089,0.802,0.802
22,23,52,40,0,0,3.268,3.314,75,11.960,11.960,12.032,12.032,12.089,12.089,0.814,0.814
23,23,52,40,0,0,3.270,3.314,75,11.957,11.957,12.037,12.037,12.081,12.081,0.790,0.790
24,23,52,40,0,0,3.272,3.313,76,11.969,11.969,12.051,12.051,12.092,12.092,0.799,0.799
25,23,52,40,0,0,3.272,3.313,76,11.969,11.969,12.051,12.051,12.092,12.092,0.795,0.795
26,23,52,40,0,0,3.274,3.314,75,11.949,11.949,12.039,12.039,12.080,12.080,0.798,0.798
27,23,52,40,0,0,3.271,3.313,77,11.959,11.959,12.023,12.023,12.100,12.100,0.797,0.797
28,23,52,40,0,0,3.274,3.313,77,11.965,11.965,12.044,12.044,12.089,12.089,0.801,0.801
29,23,52,40,0,0,3.274,3.313,77,11.965,11.965,12.044,12.044,12.089,12.089,0.801,0.801
30,23,52,41,0,0,3.274,3.312,74,11.972,11.972,12.058,12.058,12.113,12.113,0.796,0.796
31,23,52,41,0,0,3.275,3.312,78,11.963,11.963,12.045,12.045,12.103,12.103,0.801,0.801
32,23,52,41,0,0,3.275,3.312,78,11.963,11.963,12.045,12.045,12.103,12.103,0.797,0.797
33,23,52,41,0,0,3.282,3.312,72,11.962,11.962,12.049,12.049,12.074,12.074,0.784,0.784
34,23,52,41,0,0,3.277,3.312,73,11.953,11.953,12.033,12.033,12.100,12.100,0.799,0.799
