,Temp-PCB (C)_value,Temp-device (C)_value,Temp-vccint (C)_value,Temp-cage_temp_0 (C)_value,Temp-cage_temp_1 (C)_value,3v3_pex (V)_value,3v3_aux (V)_value,Power (Watts)_value,12v_pex (V)_value,12v_pex (A)_value,12v_aux_0 (V)_value,12v_aux_0 (A)_value,12v_aux_1 (V)_value,12v_aux_1 (A)_value,vccint (V)_value,vccint (A)_value
0,22,48,38,0,0,3.270,3.310,43,12.001,12.001,12.091,12.091,12.134,12.134,0.799,0.799
1,22,48,38,0,0,3.274,3.311,46,12.008,12.008,12.087,12.087,12.139,12.139,0.799,0.799
2,22,48,38,0,0,3.271,3.310,46,11.988,11.988,12.097,12.097,12.137,12.137,0.800,0.800
3,22,48,38,0,0,3.271,3.310,45,11.988,11.988,12.097,12.097,12.137,12.137,0.799,0.799
4,22,48,38,0,0,3.273,3.312,45,12.009,12.009,12.089,12.089,12.121,12.121,0.800,0.800
5,22,48,38,0,0,3.273,3.310,45,12.005,12.005,12.085,12.085,12.134,12.134,0.799,0.799
6,22,48,38,0,0,3.272,3.310,45,11.999,11.999,12.089,12.089,12.134,12.134,0.798,0.798
7,22,48,38,0,0,3.272,3.310,42,11.999,11.999,12.089,12.089,12.134,12.134,0.799,0.799
8,22,48,38,0,0,3.270,3.310,41,12.000,12.000,12.083,12.083,12.131,12.131,0.799,0.799
9,22,48,38,0,0,3.275,3.311,43,12.003,12.003,12.086,12.086,12.132,12.132,0.800,0.800
10,22,48,38,0,0,3.274,3.309,43,12.001,12.001,12.089,12.089,12.128,12.128,0.799,0.799
11,22,48,38,0,0,3.274,3.309,46,12.001,12.001,12.089,12.089,12.128,12.128,0.799,0.799
12,22,48,38,0,0,3.273,3.310,44,12.004,12.004,12.086,12.086,12.134,12.134,0.800,0.800
13,22,48,38,0,0,3.275,3.312,44,11.982,11.982,12.071,12.071,12.114,12.114,0.798,0.798
14,22,48,38,0,0,3.275,3.312,64,11.982,11.982,12.071,12.071,12.114,12.114,0.801,0.801
15,22,48,39,0,0,3.273,3.312,64,11.993,11.993,12.084,12.084,12.120,12.120,0.801,0.801
16,22,48,39,0,0,3.272,3.312,66,11.988,11.988,12.071,12.071,12.120,12.120,0.798,0.798
17,22,48,39,0,0,3.272,3.312,66,11.988,11.988,12.071,12.071,12.120,12.120,0.800,0.800
