,Temp-PCB (C)_value,Temp-device (C)_value,Temp-vccint (C)_value,Temp-cage_temp_0 (C)_value,Temp-cage_temp_1 (C)_value,3v3_pex (V)_value,3v3_aux (V)_value,Power (Watts)_value,12v_pex (V)_value,12v_pex (A)_value,12v_aux_0 (V)_value,12v_aux_0 (A)_value,12v_aux_1 (V)_value,12v_aux_1 (A)_value,vccint (V)_value,vccint (A)_value
0,22,46,38,0,0,3.274,3.311,45,11.988,11.988,12.092,12.092,12.143,12.143,0.799,0.799
1,22,46,38,0,0,3.274,3.311,46,11.988,11.988,12.092,12.092,12.143,12.143,0.799,0.799
2,22,46,38,0,0,3.274,3.311,43,11.994,11.994,12.093,12.093,12.132,12.132,0.799,0.799
3,22,46,38,0,0,3.269,3.311,43,12.004,12.004,12.083,12.083,12.130,12.130,0.799,0.799
4,22,46,38,0,0,3.269,3.311,43,12.004,12.004,12.083,12.083,12.130,12.130,0.799,0.799
5,22,46,38,0,0,3.275,3.311,41,12.003,12.003,12.092,12.092,12.130,12.130,0.799,0.799
6,22,46,38,0,0,3.268,3.311,41,12.003,12.003,12.078,12.078,12.125,12.125,0.799,0.799
7,22,46,38,0,0,3.280,3.312,41,11.995,11.995,12.096,12.096,12.135,12.135,0.799,0.799
8,22,46,38,0,0,3.280,3.312,44,11.995,11.995,12.096,12.096,12.135,12.135,0.799,0.799
9,22,46,38,0,0,3.272,3.309,46,12.001,12.001,12.081,12.081,12.133,12.133,0.799,0.799
10,22,46,38,0,0,3.272,3.309,43,12.006,12.006,12.093,12.093,12.137,12.137,0.800,0.800
11,22,46,38,0,0,3.272,3.309,43,12.006,12.006,12.093,12.093,12.137,12.137,0.800,0.800
12,22,46,38,0,0,3.269,3.309,43,12.002,12.002,12.080,12.080,12.125,12.125,0.800,0.800
13,22,46,38,0,0,3.270,3.310,63,11.987,11.987,12.059,12.059,12.121,12.121,0.801,0.801
14,22,46,38,0,0,3.269,3.310,63,11.990,11.990,12.060,12.060,12.122,12.122,0.796,0.796
15,22,46,38,0,0,3.269,3.310,64,11.990,11.990,12.060,12.060,12.122,12.122,0.798,0.798
16,22,46,38,0,0,3.269,3.311,67,11.988,11.988,12.067,12.067,12.112,12.112,0.811,0.811
